layer,auroc,accuracy,precision,recall,f1,brier,ece
0,0.5008,0.5185,0.3333,0.4444,0.3810,0.2528,0.1708
1,0.9969,0.9630,0.9444,0.9444,0.9444,0.0265,0.0446
2,0.9969,0.9815,1.0000,0.9444,0.9714,0.0213,0.0362
3,0.9969,0.9444,0.9412,0.8889,0.9143,0.0227,0.0371
4,0.9969,0.9630,0.9444,0.9444,0.9444,0.0220,0.0207
5,0.9985,0.9630,0.9444,0.9444,0.9444,0.0250,0.0292
6,0.9954,0.9815,1.0000,0.9444,0.9714,0.0178,0.0264
7,1.0000,0.9815,1.0000,0.9444,0.9714,0.0132,0.0212
8,1.0000,0.9815,1.0000,0.9444,0.9714,0.0060,0.0181
9,1.0000,1.0000,1.0000,1.0000,1.0000,0.0014,0.0136
10,1.0000,1.0000,1.0000,1.0000,1.0000,0.0016,0.0138
11,0.9985,0.9815,0.9474,1.0000,0.9730,0.0104,0.0248
12,1.0000,1.0000,1.0000,1.0000,1.0000,0.0042,0.0164
13,1.0000,1.0000,1.0000,1.0000,1.0000,0.0049,0.0166
14,1.0000,1.0000,1.0000,1.0000,1.0000,0.0009,0.0093
15,1.0000,1.0000,1.0000,1.0000,1.0000,0.0017,0.0113
16,1.0000,1.0000,1.0000,1.0000,1.0000,0.0014,0.0096
17,1.0000,1.0000,1.0000,1.0000,1.0000,0.0014,0.0116
18,1.0000,1.0000,1.0000,1.0000,1.0000,0.0041,0.0160
19,1.0000,1.0000,1.0000,1.0000,1.0000,0.0024,0.0145
20,1.0000,1.0000,1.0000,1.0000,1.0000,0.0109,0.0295
21,1.0000,1.0000,1.0000,1.0000,1.0000,0.0085,0.0250
22,0.9985,0.9630,0.9444,0.9444,0.9444,0.0118,0.0264
23,1.0000,0.9815,1.0000,0.9444,0.9714,0.0095,0.0235
24,1.0000,0.9815,1.0000,0.9444,0.9714,0.0086,0.0208
25,1.0000,0.9815,1.0000,0.9444,0.9714,0.0091,0.0223
26,0.9985,0.9815,1.0000,0.9444,0.9714,0.0150,0.0264
27,1.0000,0.9815,1.0000,0.9444,0.9714,0.0110,0.0231
28,1.0000,0.9815,1.0000,0.9444,0.9714,0.0056,0.0197
