layer,auroc,accuracy,precision,recall,f1,brier,ece
0,0.5000,0.7500,0.7500,1.0000,0.8571,0.2500,0.2500
1,0.9689,0.9500,0.9565,0.9778,0.9670,0.0361,0.0340
2,1.0000,1.0000,1.0000,1.0000,1.0000,0.0008,0.0115
3,1.0000,1.0000,1.0000,1.0000,1.0000,0.0007,0.0102
4,1.0000,1.0000,1.0000,1.0000,1.0000,0.0034,0.0149
5,1.0000,1.0000,1.0000,1.0000,1.0000,0.0032,0.0157
6,1.0000,1.0000,1.0000,1.0000,1.0000,0.0020,0.0165
7,1.0000,1.0000,1.0000,1.0000,1.0000,0.0018,0.0179
8,1.0000,1.0000,1.0000,1.0000,1.0000,0.0018,0.0159
9,1.0000,0.9833,0.9783,1.0000,0.9890,0.0068,0.0264
10,1.0000,1.0000,1.0000,1.0000,1.0000,0.0013,0.0155
11,1.0000,1.0000,1.0000,1.0000,1.0000,0.0014,0.0145
12,1.0000,1.0000,1.0000,1.0000,1.0000,0.0038,0.0200
13,1.0000,1.0000,1.0000,1.0000,1.0000,0.0043,0.0217
14,1.0000,1.0000,1.0000,1.0000,1.0000,0.0016,0.0147
15,1.0000,1.0000,1.0000,1.0000,1.0000,0.0011,0.0094
16,1.0000,1.0000,1.0000,1.0000,1.0000,0.0028,0.0132
17,1.0000,1.0000,1.0000,1.0000,1.0000,0.0038,0.0131
18,1.0000,1.0000,1.0000,1.0000,1.0000,0.0023,0.0135
19,1.0000,1.0000,1.0000,1.0000,1.0000,0.0012,0.0112
20,1.0000,1.0000,1.0000,1.0000,1.0000,0.0019,0.0144
21,1.0000,1.0000,1.0000,1.0000,1.0000,0.0051,0.0247
22,0.9985,0.9667,0.9778,0.9778,0.9778,0.0157,0.0419
23,0.9956,0.9833,0.9783,1.0000,0.9890,0.0246,0.0435
24,0.9911,0.9500,0.9375,1.0000,0.9677,0.0347,0.0359
25,0.9911,0.9333,0.9362,0.9778,0.9565,0.0388,0.0485
26,0.9911,0.9333,0.9362,0.9778,0.9565,0.0378,0.0572
27,0.9941,0.9500,0.9565,0.9778,0.9670,0.0290,0.0517
28,0.9837,0.9167,0.9348,0.9556,0.9451,0.0485,0.0628
