layer,auroc,accuracy,precision,recall,f1,brier,ece
0,0.5000,0.7500,0.7500,1.0000,0.8571,0.2500,0.2500
1,1.0000,1.0000,1.0000,1.0000,1.0000,0.0030,0.0158
2,1.0000,1.0000,1.0000,1.0000,1.0000,0.0018,0.0120
3,1.0000,1.0000,1.0000,1.0000,1.0000,0.0002,0.0057
4,1.0000,1.0000,1.0000,1.0000,1.0000,0.0001,0.0033
5,1.0000,1.0000,1.0000,1.0000,1.0000,0.0001,0.0033
6,1.0000,1.0000,1.0000,1.0000,1.0000,0.0005,0.0085
7,1.0000,1.0000,1.0000,1.0000,1.0000,0.0003,0.0071
8,1.0000,1.0000,1.0000,1.0000,1.0000,0.0005,0.0078
9,1.0000,1.0000,1.0000,1.0000,1.0000,0.0020,0.0144
10,0.9985,0.9833,0.9783,1.0000,0.9890,0.0124,0.0390
11,1.0000,0.9833,0.9783,1.0000,0.9890,0.0100,0.0285
12,1.0000,1.0000,1.0000,1.0000,1.0000,0.0031,0.0261
13,1.0000,1.0000,1.0000,1.0000,1.0000,0.0009,0.0149
14,1.0000,1.0000,1.0000,1.0000,1.0000,0.0070,0.0270
15,1.0000,1.0000,1.0000,1.0000,1.0000,0.0040,0.0208
16,1.0000,0.9667,1.0000,0.9556,0.9773,0.0136,0.0359
17,0.9985,0.9667,1.0000,0.9556,0.9773,0.0193,0.0427
18,0.9941,0.9833,1.0000,0.9778,0.9888,0.0244,0.0470
19,0.9822,0.9667,1.0000,0.9556,0.9773,0.0330,0.0519
20,0.9807,0.9500,0.9773,0.9556,0.9663,0.0453,0.0559
21,0.9733,0.9500,0.9773,0.9556,0.9663,0.0478,0.0521
22,0.9689,0.9333,0.9767,0.9333,0.9545,0.0560,0.0604
23,0.9719,0.9500,0.9773,0.9556,0.9663,0.0447,0.0458
24,0.9585,0.9167,0.9545,0.9333,0.9438,0.0618,0.0570
